Test Case ID,Historia de Usuario,Caso de prueba,Resultado Esperado,Status,Fecha de Ejecución,Encargado,Iteración,Evidencia
1,Iniciar sesión en el sistema,Al entrar a la aplicación,"Se muestran los campos de inicio de sesion (username o correo electronico), contraseña, hipervinculo de restablecer contraseña y un boton de iniciar sesión.",Aprobado,"May 24, 2022",Andrea Piñeiro,IT3,FullHouse%204e83b7ac13474daeacfbb3d2fd539a85/Login1.jpeg
2,Iniciar sesión en el sistema,"El usuario ingresa su username o correo y contraseña, llena la información correctamente y da clic en iniciar sesión.",Se muestra la pantalla principal del rol del usuario.,Aprobado,"May 24, 2022",Andrea Piñeiro,IT3,
3,Iniciar sesión en el sistema,"El usuario ingresa su username o correo y contraseña, llena incorrectamente su contraseña y da clic en iniciar sesión.",Se muestra un mensaje de que el usuario o contraseña incorrecto.,Aprobado,"May 24, 2022",Andrea Piñeiro,IT3,FullHouse%204e83b7ac13474daeacfbb3d2fd539a85/Login2.jpeg
4,Iniciar sesión en el sistema,Falta un campo o más por llenar para el inicio de sesión.,Se muestra un mensaje de error en la parte inferior indicando los campos requeridos,Aprobado,"May 24, 2022",Andrea Piñeiro,IT3,FullHouse%204e83b7ac13474daeacfbb3d2fd539a85/Login3.jpeg
5,Iniciar sesión en el sistema,El usuario ingresa su username o correo y contraseña correctamente pero ocurre un error al guardar.,Se muestra un mensaje de error.,Aprobado,"May 24, 2022",Andrea Piñeiro,IT3,FullHouse%204e83b7ac13474daeacfbb3d2fd539a85/Login4.jpeg
6,Iniciar sesión en el sistema,El usuario sin tener sesión iniciada intenta acceder a una ruta diferente a /iniciarSesion,Se redirige al login,Aprobado,"May 24, 2022",Andrea Piñeiro,IT3,FullHouse%204e83b7ac13474daeacfbb3d2fd539a85/Login1%201.jpeg
7,Iniciar sesión en el sistema,El usuario con la sesión iniciada intenta accede a /iniciarSesion,Se redirige al home,Aprobado,"May 24, 2022",Andrea Piñeiro,IT3,FullHouse%204e83b7ac13474daeacfbb3d2fd539a85/Login5.jpeg
8,Iniciar sesión en el sistema,El usuario autenticado intenta acceder a cualquier ruta que no exista,Se muestra página de error 404,Aprobado,"May 24, 2022",Andrea Piñeiro,IT3,FullHouse%204e83b7ac13474daeacfbb3d2fd539a85/Login6.jpeg
9,Iniciar sesión en el sistema,El usuario intenta hacer una petición con un permiso que no tiene,Se muestra página de error 403,Aprobado,"May 24, 2022",Andrea Piñeiro,IT3,
1,Consultar Estudio del Paciente,"El usuario se autentica con el rol de químico, da clic en el detalle del paciente y luego da clic en el icono del detalle del estudio del paciente.",Se muestra la información del detalle del estudio del paciente,,,Carolina Herrera Martínez,IT3,
2,Consultar Estudio del Paciente,"El usuario se autentica con el rol de químico, ya dentro del detalle del estudio del paciente da clic en el botón de editar estudio",Nos redirije a la vista de Editar estudio,,,Carolina Herrera Martínez,IT3,
3,Consultar Estudio del Paciente,"El usuario se autentica con el rol de químico, ya dentro del detalle del estudio del paciente da clic en el botón de eliminar estudio",Se muestra un mensaje de estudio eliminado y nos regresa a la vista anterior,,,Carolina Herrera Martínez,IT3,
4,Consultar Estudio del Paciente,"El usuario se autentica con el rol de doctor o nutrióloga, da clic en el detalle del paciente y luego da clic en el icono del resultado del estudio del paciente",Se muestra la información del resultado del estudio del paciente,,,Carolina Herrera Martínez,IT3,
5,Consultar Estudio del Paciente,"El usuario se autentica con el rol de doctor o nutriologa, ya dentro del detalle del estudio del paciente da clic en el botón de generar PDF",Se genera el PDF del resultado del estudio,,,Carolina Herrera Martínez,IT3,
6,Consultar Estudio del Paciente,Error con la base de datos no permite obtener los datos correctamente,Se muestra un mensaje de error,,,Carolina Herrera Martínez,IT3,
7,Consultar Estudio del Paciente,El usuario se autentica con cualquier otro rol,No se muestran los estudios del paciente,,,Carolina Herrera Martínez,IT3,
8,Consultar Estudio del Paciente,El usuario da clic en el botón de regresar,Se regresa a la vista anterior,,,Carolina Herrera Martínez,IT3,
9,Consultar Estudio del Paciente,"El usuario intenta acceder a la ruta con un rol diferente al del químico, doctor o nutrióloga",Se muestra un mensaje de error que no cuenta con autorización para acceder a la ruta,,,Carolina Herrera Martínez,IT3,
1,Registrar Información del Paciente,"El usuario se autentica con el rol de trabajador social, da click en registrar paciente y llena la infomación correctamente",Se muestra un mensaje de éxito al guardar el paciente y se regresa a la vista anterior,Aprobado,"May 26, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
2,Registrar Información del Paciente,"El usuario se autentica con el rol de trabajador social, da click en registrar paciente e ingresa un curp ya existente",Se muestra un mensaje de que el CURP ya existe,Aprobado,"May 26, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
3,Registrar Información del Paciente,"El usuario se autentica con el rol de trabajador social, da click en registrar paciente y llena la infomación correctamente pero ocurre un error al guardar",Se muestra un mensaje de error,Aprobado,"May 26, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
4,Registrar Información del Paciente,"El usuario se autentica con el rol de trabajador social, da click en registrar paciente y deja vacíos algunos datos requeridos",Se muestra un cuadro de error en la parte inferior del campo y el botón de guardar esta deshabilitado,Aprobado,"May 26, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
5,Registrar Información del Paciente,"El usuario se autentica con el rol de trabajador social, da click en registrar paciente y ingresa tipos de datos incorrectos",Se muestra un cuadro de error en la parte inferior del campo y el botón de guardar esta deshabilitado,Aprobado,"May 26, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
6,Registrar Información del Paciente,El usuario se autentica con cualquier otro rol,No se muestra el botón de Registrar Paciente,Aprobado,"May 26, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
7,Registrar Información del Paciente,El usuario da click en el botón de regresar,Se regresa a la vista anterior,Aprobado,"May 26, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Cerrar sesión en el sistema,El usuario al estar autenticado y da click en cerrar sesión,"Nos redirije a la vista de login, elimina sesión activa desde backend.",Aprobado,"May 27, 2022",Jorge Alan Ramírez Elías,IT3,FullHouse%204e83b7ac13474daeacfbb3d2fd539a85/Screenshot_2022-05-27_142333.png
1,Registrar estudio del paciente,"El usuario se autentica con el rol de químico, da clic en el botón para registrar el estudio del paciente y llena la información correctamente",Se muestra un mensaje de éxito al registrar estudio de paciente y se muestra vista con detalle de estudio registrado,,,Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
2,Registrar estudio del paciente,"El usuario se autentica con el rol de químico, da clic en el botón para registrar el estudio del paciente y llena la información correctamente pero ocurre un error al guardar",Se muestra un mensaje de error,Aprobado,"May 29, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
3,Registrar estudio del paciente,"El usuario se autentica con el rol de químico, da clic en el botón para registrar el estudio del paciente y deja vacíos algunos datos requeridos",Se muestra un cuadro de error en la parte inferior del campo y el botón de guardar esta deshabilitado,Aprobado,"May 30, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
4,Registrar estudio del paciente,El usuario se autentica con el rol de químico da clic en el botón para registrar el estudio del paciente y ingresa tipos de datos incorrectos,Se muestra un cuadro de error en la parte inferior del campo y el botón de guardar esta deshabilitado,No reproducible,"May 30, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
5,Registrar estudio del paciente,El usuario se autentica con cualquier otro rol,No se muestran los botones para registrar el estudio del paciente,Aprobado,"May 29, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
6,Registrar estudio del paciente,El usuario da clic en el botón de regresar,Se regresa a la vista anterior,Aprobado,"May 29, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
7,Registrar estudio del paciente,Usuario intenta acceder a la ruta con rol diferente al de quimico.,Se muestra mensaje de error que no cuenta con autorizacion para acceder a ruta,Aprobado,"May 29, 2022",Carolina Herrera Martínez,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Consultar los tipos de estudio,El usuario se autentica con el rol de administrador e ingresa a la sección de tipos de estudio.,Se desgloza los tipos de estudio correctamente,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
2,Consultar los tipos de estudio,"El usuario se autentica con el rol de quimico, de click en detalle del estudio",Dentro del detalle de paciente encuentra los tipos de estudio correctamente,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
3,Consultar los tipos de estudio,"El usuario ingresa con el rol de doctor, nutriologo y psicologo, no tiene los roles necesarios",No se muestran los tipos de estudio y no se puede acceder a la información,,,Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
4,Consultar los tipos de estudio,El usuario se autentica con el rol de quimico e ingresa a la página con los permisos necesarios para ver los tipos de estudio registrados en el sistema dentro de la información de un paciente.,Se le desgloza los tipos de estudio correctamente,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
5,Consultar los tipos de estudio,Error con la base de datos no permite obtener los datos correctamente,Se muestra un mensaje de error al obtener la información,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
6,Consultar los tipos de estudio,"El usuario se autentica con el rol de quimico o administrador, ingresa al detalle del tipo de estudio",Se carga la vista completa con infomación del estudio,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
7,Consultar los tipos de estudio,"El usuario se autentica con el rol de quimico, entra a la información de un paciente, ingresa al detalle del tipo de estudio y da click en el botón regresar",El sistema redirige a la vista donde estan todos los estudios,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
8,Consultar los tipos de estudio,"El usuario se autentica con el rol de doctor, nutriologo o psicologo e ingresa a la ruta de tipos de estudio",El sistema muestra un error de que no se cuenta con los permisos establecidos,Aprobado,"May 27, 2022",Eduardo Rodríguez Gil,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit