Day,☼ 8:30am,☾ 12pm,Blogilates,Arms/Abs,Floss,Meditate,Skincare
"Mon, Mar 1",No,No,No,No,No,No,
"Tue, Mar 2",No,No,No,No,No,No,
"Wed, Mar 3",No,No,No,No,No,No,
"Thu, Mar 4",No,No,No,No,No,No,
"Fri, Mar 5",No,No,No,No,No,No,
"Sat, Mar 6",No,No,No,No,No,No,
"Sun, Mar 7",No,No,No,No,No,No,
"Mon, Mar 8",No,No,No,No,No,No,
"Tue, Mar 9",No,No,No,No,No,No,
"Wed, Mar 10",No,No,No,No,No,No,
"Thu, Mar 11",No,No,No,No,No,No,
"Fri, Mar 12",No,No,No,No,No,No,
"Sat, Mar 13",No,No,No,No,No,No,
"Sun, Mar 14",No,No,No,No,No,No,
"Mon, Mar 15",No,No,No,No,No,No,
"Tue, Mar 16",No,No,No,No,No,No,
"Wed, Mar 17",No,No,No,No,No,No,
"Thu, Mar 18",No,No,No,No,No,No,
"Fri, Mar 19",No,No,No,No,No,No,
"Sat, Mar 20",No,No,No,No,No,No,
"Sun, Mar 21",No,No,No,No,No,No,
"Mon, Mar 22",No,No,No,No,No,No,
"Tue, Mar 23",No,No,No,No,No,No,
"Wed, Mar 24",No,No,No,No,No,No,
"Thu, Mar 25",No,No,No,No,No,No,
"Fri, Mar 26",No,No,No,No,No,No,
"Sat, Mar 27",No,No,No,No,No,No,
"Sun, Mar 28",No,No,No,No,No,No,
"Mon, Mar 29",No,No,No,No,No,No,
"Tue, Mar 30",No,No,No,No,No,No,
"Wed, Mar 31",No,No,No,No,No,No,